variant,mean,std,count,dataset,split
WL,0.606111111111111,0.040129035699513614,5,C4_n8,TEST
1drop-LOG,0.6783333333333333,0.021282201454864386,5,C4_n8,TEST
1drop-MLP,0.6872222222222222,0.022618003317580276,5,C4_n8,TEST
WL,0.6338095238095238,0.017386659206625816,5,C4_n8,TRAIN
1drop-LOG,0.7104761904761905,0.014295631478360096,5,C4_n8,TRAIN
1drop-MLP,0.6876190476190477,0.020108126086084647,5,C4_n8,TRAIN
WL,0.8055555555555556,0.01020620726159655,5,C4_n16,TEST
1drop-LOG,0.8877777777777778,0.006972166887784031,5,C4_n16,TEST
1drop-MLP,0.8527777777777779,0.04025382429497075,5,C4_n16,TEST
WL,0.8045238095238096,0.004242507066953669,5,C4_n16,TRAIN
1drop-LOG,0.8933333333333333,0.004001841979517118,5,C4_n16,TRAIN
1drop-MLP,0.8447619047619048,0.040985935865556496,5,C4_n16,TRAIN
WL,0.9216666666666666,0.011351564856501416,5,C4_n24,TEST
1drop-LOG,0.9716666666666667,0.00865133972355411,5,C4_n24,TEST
1drop-MLP,0.9361111111111111,0.029853035083617568,5,C4_n24,TEST
WL,0.924047619047619,0.004864956367072075,5,C4_n24,TRAIN
1drop-LOG,0.9711904761904762,0.00271470339309321,5,C4_n24,TRAIN
1drop-MLP,0.6628571428571429,0.22464604307933367,5,C4_n24,TRAIN
WL,0.9944444444444445,0.005196746370519356,5,C4_n32,TEST
1drop-LOG,0.9944444444444445,0.005196746370519356,5,C4_n32,TEST
1drop-MLP,0.9822222222222223,0.020842590535893366,5,C4_n32,TEST
WL,0.9928571428571429,0.0022271770159369418,5,C4_n32,TRAIN
1drop-LOG,0.9933333333333334,0.0015971914124997988,5,C4_n32,TRAIN
1drop-MLP,0.7695238095238095,0.2506886772975,5,C4_n32,TRAIN
WL,1.0,0.0,5,C4_n40,TEST
1drop-LOG,1.0,0.0,5,C4_n40,TEST
1drop-MLP,0.9961111111111111,0.0015214515486254804,5,C4_n40,TEST
WL,0.9988095238095237,0.0,5,C4_n40,TRAIN
1drop-LOG,0.9988095238095237,0.0,5,C4_n40,TRAIN
1drop-MLP,0.971904761904762,0.02689264371002385,5,C4_n40,TRAIN
WL,0.9949999999999999,0.006916610887771511,5,C4_n44,TEST
1drop-LOG,0.9961111111111112,0.0054148857471160855,5,C4_n44,TEST
1drop-MLP,0.9905555555555555,0.008471083712209459,5,C4_n44,TEST
WL,0.9961904761904762,0.0005323971374999496,5,C4_n44,TRAIN
1drop-LOG,0.9966666666666667,0.0005323971374999419,5,C4_n44,TRAIN
1drop-MLP,0.9769047619047619,0.007172557300662912,5,C4_n44,TRAIN
WL,0.5,0.0,5,LIMITS1,TEST
1drop-LOG,0.5,0.0,5,LIMITS1,TEST
1drop-MLP,0.5,0.0,5,LIMITS1,TEST
WL,0.5,0.0,5,LIMITS1,TRAIN
1drop-LOG,1.0,0.0,5,LIMITS1,TRAIN
1drop-MLP,0.6,0.4183300132670378,5,LIMITS1,TRAIN
WL,0.5,0.0,5,LIMITS2,TEST
1drop-LOG,0.5,0.0,5,LIMITS2,TEST
1drop-MLP,0.8,0.27386127875258304,5,LIMITS2,TEST
WL,0.5,0.0,5,LIMITS2,TRAIN
1drop-LOG,1.0,0.0,5,LIMITS2,TRAIN
1drop-MLP,0.5,0.3535533905932738,5,LIMITS2,TRAIN
WL,0.5,0.0,5,SKIP32,TEST
1drop-LOG,1.0,0.0,5,SKIP32,TEST
1drop-MLP,1.0,0.0,5,SKIP32,TEST
WL,0.5,0.0,5,SKIP32,TRAIN
1drop-LOG,1.0,0.0,5,SKIP32,TRAIN
1drop-MLP,0.8,0.2738612787525831,5,SKIP32,TRAIN
WL,0.89175,0.003685351304300768,5,LCC32,TEST
1drop-LOG,0.89175,0.003685351304300768,5,LCC32,TEST
1drop-MLP,0.8917500019073487,0.0036853534966997405,5,LCC32,TEST
WL,0.8937589285714285,0.001579436273271716,5,LCC32,TRAIN
1drop-LOG,0.8937589285714285,0.001579436273271716,5,LCC32,TRAIN
1drop-MLP,0.8937589287757873,0.0015794249144221316,5,LCC32,TRAIN
WL,0.5471666666666667,0.006918815554743114,5,TRI32,TEST
1drop-LOG,0.5470833333333334,0.006854847357284246,5,TRI32,TEST
1drop-MLP,0.5478750228881836,0.0076264644351804155,5,TRI32,TEST
WL,0.5499196428571429,0.0031769282470233274,5,TRI32,TRAIN
1drop-LOG,0.5499910714285715,0.003102020099705906,5,TRI32,TRAIN
1drop-MLP,0.5483214259147644,0.0025314029080663893,5,TRI32,TRAIN
