dataset,variant,t_repr_s,t_fit_s,t_eval_s,t_total_s
C4_n8,WL,0.03189735412597652,0.00246601104736322,0.00073733329772944,0.03696274757385248
C4_n8,1drop-LOG,5.406511831283569,0.00258178710937496,0.0007944107055663799,5.411705446243286
C4_n8,1drop-MLP,5.434151268005371,0.20123209953308102,0.0,5.63620891571045
C4_n16,WL,0.06519231796264643,0.00420174598693842,0.00084018707275386,0.07214503288269038
C4_n16,1drop-LOG,9.926207494735717,0.00460748672485346,0.00077118873596186,9.933563041687012
C4_n16,1drop-MLP,10.130797338485717,0.18681178092956538,0.0,10.318493556976318
C4_n24,WL,0.11386742591857905,0.00568289756774898,0.0008889675140380399,0.12288093566894527
C4_n24,1drop-LOG,16.48076605796814,0.0064837455749511205,0.00099110603332516,16.490967750549316
C4_n24,1drop-MLP,16.477376556396486,0.8136812210083008,0.0,17.29248442649841
C4_n32,WL,0.1550092220306396,0.00505318641662594,0.00084786415100092,0.1636419296264648
C4_n32,1drop-LOG,23.66955633163452,0.00508942604064938,0.0009045600891112599,23.678841638565064
C4_n32,1drop-MLP,23.28388876914978,0.24338173866271973,0.0,23.528308820724487
C4_n40,WL,0.19292454719543453,0.0035282611846923,0.00073142051696772,0.1990223884582519
C4_n40,1drop-LOG,30.61541814804077,0.00305762290954584,0.0007658004760741799,30.621102476119994
C4_n40,1drop-MLP,30.44155697822571,0.20972247123718257,0.0,30.65217809677124
C4_n44,WL,0.2298341751098632,0.0042082309722900006,0.00075359344482418,0.23670158386230464
C4_n44,1drop-LOG,37.19783010482788,0.003935432434082,0.00082654953002924,37.20443739891052
C4_n44,1drop-MLP,37.23040385246277,0.17824296951293944,0.0,37.40954780578613
LIMITS1,WL,0.04214916229248042,0.00236849784851068,0.0007408618927001399,0.04841609001159662
LIMITS1,1drop-LOG,6.7075683116912845,0.0027546882629394,0.00082206726074214,6.713370513916016
LIMITS1,1drop-MLP,6.799451398849487,0.26268243789672846,0.0,7.063028812408447
LIMITS2,WL,0.05531115531921382,0.0020777702331542603,0.00075964927673334,0.05995788574218745
LIMITS2,1drop-LOG,9.602478170394898,0.0023608684539794403,0.00081758499145502,9.607519149780273
LIMITS2,1drop-MLP,9.50867280960083,0.15717172622680659,0.0,9.666648149490356
SKIP32,WL,0.0797552108764648,0.0015343666076659801,0.00071520805358882,0.08394165039062494
SKIP32,1drop-LOG,13.037712001800537,0.0027401924133300198,0.0008429527282714201,13.04347276687622
SKIP32,1drop-MLP,13.098165512084961,0.18548064231872555,0.0,13.284587049484253
LCC32,WL,0.09170336723327632,0.04047336578369134,0.0,0.132178783416748
LCC32,1drop-LOG,0.25275239944458006,0.0354901790618896,0.0,0.2882461547851562
LCC32,1drop-MLP,0.24643878936767574,0.8666795253753662,0.0,1.1131218433380128
TRI32,WL,0.09989209175109857,0.02201542854309078,0.0,0.12190995216369624
TRI32,1drop-LOG,0.3030194282531738,0.022926664352416935,0.0,0.32594890594482423
TRI32,1drop-MLP,0.29500865936279297,0.8659707546234131,0.0,1.1609832763671875
