variant,p_label,n,mean,std,count
WL,WL,8,0.6097222222222222,0.039355133987845535,420
WL,WL,16,0.8069444444444445,0.009734042557556956,412
WL,WL,24,0.9222087378640776,0.011295435063104538,412
WL,WL,32,0.9947343581445524,0.005706440058423638,412
WL,WL,40,0.9998651564185546,0.0010527124654882937,412
WL,WL,44,0.9999730312837108,0.00038660271723001734,412
dropWL+MLP,0.1,8,0.6499007936507937,0.04954245696645135,224
dropWL+MLP,0.1,16,0.9093621399176954,0.03740830994155449,216
dropWL+MLP,0.1,24,0.9306584362139917,0.03292367984453723,216
dropWL+MLP,0.1,32,0.9746656378600823,0.049811181795248564,216
dropWL+MLP,0.1,40,0.9918595679012346,0.011226721431175504,216
dropWL+MLP,0.1,44,0.9983539094650206,0.003238022320749802,216
dropWL+MLP,0.2,8,0.6678713151927438,0.038279793402030096,196
dropWL+MLP,0.2,16,0.9440901360544217,0.03604684793847926,196
dropWL+MLP,0.2,24,0.9574263038548754,0.04186945053343217,196
dropWL+MLP,0.2,32,0.988251133786848,0.03600777916161216,196
dropWL+MLP,0.2,40,0.9975198412698413,0.004070592270276249,196
dropWL+MLP,0.2,44,0.9892998866213152,0.07082214848950558,196
dropWL-mean,0.1,8,0.6840210355987055,0.026498930213962366,412
dropWL-mean,0.1,16,0.9645347222222221,0.011487109234428501,400
dropWL-mean,0.1,24,0.9882291666666666,0.0030607645910464666,400
dropWL-mean,0.1,32,0.9965347222222222,0.003606254633353548,400
dropWL-mean,0.1,40,0.998638888888889,0.0013903501085343552,400
dropWL-mean,0.1,44,1.0,0.0,400
dropWL-mean,0.2,8,0.6989583333333333,0.022612519943629856,8
dropWL-mean,0.2,16,0.9775462962962962,0.005613127617121294,12
dropWL-mean,0.2,24,1.0,0.0,12
dropWL-mean,0.2,32,0.9993055555555556,0.0012562972690740033,12
dropWL-mean,0.2,40,1.0,0.0,12
dropWL-mean,0.2,44,1.0,0.0,12
